iter	RMSE
1297	40062.83403
1298	40059.08385
1299	40057.48638
1300	40055.57871
1301	40054.40364
1302	40049.81354
1303	40046.54274
1304	40036.43341
1305	40032.81602
1306	40030.93261
1307	40028.65403
1308	40028.0936
1309	40024.86339
1310	40023.71034
1311	40017.63933
1312	40010.75179
1313	40007.62023
1314	40002.41717
1315	39999.72303
1316	39997.39023
1317	39995.3183
1318	39993.85073
1319	39990.88679
1320	39987.82304
1321	39987.03528
1322	39982.18676
1323	39980.41353
1324	39978.71089
1325	39975.28424
1326	39973.59932
1327	39972.86451
1328	39968.53251
1329	39967.26246
1330	39963.68185
1331	39961.65717
1332	39958.52591
1333	39957.44154
1334	39946.85469
1335	39945.67438
1336	39943.10285
1337	39941.53698
1338	39938.05283
1339	39932.22592
1340	39929.39393
1341	39920.67284
1342	39917.47234
1343	39912.32404
1344	39910.81829
1345	39909.95327
1346	39908.62379
1347	39907.0043
1348	39905.10235
1349	39899.45385
1350	39898.47723
1351	39896.78937
1352	39889.84831
1353	39883.11891
1354	39881.76714
1355	39869.58747
1356	39862.11183
1357	39860.85453
1358	39859.56193
1359	39858.50256
1360	39857.2366
1361	39855.76926
1362	39851.44157
1363	39849.31199
1364	39846.73707
1365	39846.51128
1366	39843.37074
1367	39840.47979
1368	39837.84235
1369	39833.9623
1370	39829.57513
1371	39827.78578
1372	39821.84971
1373	39820.46777
1374	39811.66776
1375	39793.56669
1376	39786.47808
1377	39785.1665
1378	39781.24126
1379	39777.14423
1380	39775.92797
1381	39774.24579
1382	39773.06597
1383	39758.67438
1384	39757.83711
1385	39755.92804
1386	39749.44036
1387	39743.54606
1388	39740.4579
1389	39738.37146
1390	39736.70785
1391	39733.2547
1392	39732.2507
1393	39730.95203
1394	39726.33805
1395	39724.84779
1396	39718.39906
1397	39716.94204
1398	39714.53428
1399	39712.54458
1400	39705.99134
1401	39703.57311
1402	39700.61588
1403	39696.36584
1404	39694.5056
1405	39690.046
1406	39685.09943
1407	39683.10993
1408	39681.12883
1409	39678.89897
1410	39671.13844
1411	39668.58945
1412	39668.36263
1413	39666.09702
1414	39664.71544
1415	39658.38276
1416	39651.99048
1417	39641.1072
1418	39638.91509
1419	39624.20841
1420	39617.56255
1421	39615.71877
1422	39613.09223
1423	39608.90273
1424	39608.02365
1425	39603.71502
1426	39600.57587
1427	39592.47493
1428	39585.75756
1429	39582.17808
1430	39580.52502
1431	39575.48548
1432	39572.40664
1433	39558.65829
1434	39549.99711
1435	39548.32328
1436	39545.46892
1437	39541.52859
1438	39540.03251
1439	39538.39412
1440	39532.61595
1441	39530.80569
1442	39530.31734
1443	39518.90038
1444	39518.16682
1445	39515.5152
1446	39514.07988
1447	39513.49856
1448	39509.96821
1449	39495.60356
1450	39489.4389
1451	39480.83642
1452	39479.39852
1453	39476.02248
1454	39473.01998
1455	39470.58103
1456	39460.44743
1457	39458.41517
1458	39457.66711
1459	39456.43676
1460	39453.65283
1461	39448.36456
1462	39445.50199
1463	39441.6959
1464	39434.83494
1465	39432.12873
1466	39428.89108
1467	39427.68875
1468	39424.72322
1469	39421.55923
1470	39415.77995
1471	39413.33819
1472	39410.81198
1473	39409.7327
1474	39409.00983
1475	39401.1544
1476	39399.50133
1477	39398.28345
1478	39396.03985
1479	39395.22286
1480	39389.40493
1481	39384.84321
1482	39384.14157
1483	39375.54725
1484	39373.12433
1485	39370.04267
1486	39368.13478
1487	39366.67086
1488	39363.8369
1489	39361.52403
1490	39352.75836
1491	39346.32725
1492	39344.5539
1493	39337.42919
1494	39335.25714
1495	39334.27611
1496	39328.92978
1497	39324.78118
